source_file,age,utterance,overreg_past,overreg_plural
/content/drive/My Drive/childes/Eng-NA/Braunwald/010720.xml,527.75,the xxx doggy gone do byebye,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/010725.xml,527.75,I et ate it,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/011008.xml,527.75,what did you do,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/011019.xml,527.75,felled fell,TRUE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/011020.xml,527.75,go in my hurt eye,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/011027.xml,527.75,there are my shoes,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/011103.xml,527.75,tiny when did my baby come here,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/011109.xml,527.75,on a Glock stairs,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/011126.xml,527.75,that is broken,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/020023.xml,527.75,he said Mummy Mummy,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/020121.xml,527.75,I got I have got milk in my eye,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/020128.xml,527.75,I had a cold,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/020200.xml,527.75,I've ate my dinner,TRUE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/020212a.xml,527.75,that mean when Dee Jack went on trip on xxx on fire,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/020215.xml,527.75,I got choose Mickey_Mouse,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/020224.xml,527.75,I have got a fork,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/020226.xml,527.75,I had no more pepper,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/020227.xml,527.75,why did you left,TRUE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/020300.xml,527.75,I have had enough,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/020300.xml,527.75,I have had nough enough,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/020300.xml,527.75,I have had enough,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/020300a.xml,527.75,a white cat was hurt Pwww,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/020300a.xml,527.75,Dwww said I was Daniel,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/020300a.xml,527.75,here are my new sandals,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/020300a.xml,527.75,a pears,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Braunwald/020300a.xml,527.75,I heared it,TRUE,FALSE
