source_file,age,utterance,overreg_past,overreg_plural
/content/drive/My Drive/childes/Eng-NA/Weist/Emma/021116.xml,1082,yes and the roar was so scared the flower goed went away,TRUE,FALSE
/content/drive/My Drive/childes/Eng-NA/Weist/Emma/021116.xml,1082,she just waked woke up,TRUE,FALSE
/content/drive/My Drive/childes/Eng-NA/Weist/Emma/021116.xml,1082,she put it on it and the baby falled fell over,TRUE,FALSE
/content/drive/My Drive/childes/Eng-NA/Weist/Emma/030003.xml,1098.75,I just goed went past you,TRUE,FALSE
/content/drive/My Drive/childes/Eng-NA/Weist/Emma/030120.xml,1146.25,that my grandpa drawed drew that and grandpa drawed drew that,TRUE,FALSE
/content/drive/My Drive/childes/Eng-NA/Weist/Emma/030624.xml,1302.75,everyone begans began,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Weist/Emma/030721.xml,1330.25,he just r runned ran an gave it to me,TRUE,FALSE
/content/drive/My Drive/childes/Eng-NA/Weist/Emma/030907.xml,1377.25,yeah I maded made it and I have I had kayak clothes on,TRUE,FALSE
/content/drive/My Drive/childes/Eng-NA/Weist/Emma/030907.xml,1377.25,I just buyed bought chocolate milk,TRUE,FALSE
/content/drive/My Drive/childes/Eng-NA/Weist/Emma/030907.xml,1377.25,I drinked drank it all,TRUE,FALSE
/content/drive/My Drive/childes/Eng-NA/Weist/Emma/040300.xml,1552.5,and she even bringed brought a slide,TRUE,FALSE
/content/drive/My Drive/childes/Eng-NA/Weist/Emma/040300.xml,1552.5,no she bringed brought all these aminals animals but she didn't bring this,TRUE,FALSE
/content/drive/My Drive/childes/Eng-NA/Weist/Emma/040300.xml,1552.5,Jessica only bringed brought two o these,TRUE,FALSE
/content/drive/My Drive/childes/Eng-NA/Weist/Emma/040300.xml,1552.5,we gotted got,TRUE,FALSE
/content/drive/My Drive/childes/Eng-NA/Weist/Emma/040321.xml,1573.5,the dog waked woke you up,TRUE,FALSE
/content/drive/My Drive/childes/Eng-NA/Weist/Emma/040321.xml,1573.5,someone throwed threw me forty four times on the ground,TRUE,FALSE
/content/drive/My Drive/childes/Eng-NA/Weist/Emma/040418.xml,1601,I heard that we need chocolate chips and I bringed brought them over,TRUE,FALSE
/content/drive/My Drive/childes/Eng-NA/Weist/Emma/040418.xml,1601,it's from Hans and Tamara sended sent it to us,TRUE,FALSE
/content/drive/My Drive/childes/Eng-NA/Weist/Emma/040804.xml,1709,I know where we hided hid it,TRUE,FALSE
