corpus,control_file,control_utterance,control_response,control_start_time_minutes,elan_coded,Notes
ben,20413,put over here,and what are what can the what's the horse gonna do,26.08221667,TRUE,
ben,20427,gonna get him,you get him,7.512766667,TRUE,
ben,20406,little boy here,a little boy there,15.88485,TRUE,
ben,20816,yeah I dop the new cape,what happened to the new cape,1.786233333,TRUE,
ben,20816,and they're was hide in there,why were they hiding in there,30.1201,TRUE,
ben,20804,it's the keys for the car,for a car,27.3382,TRUE,
ben,30221,um brannas,brannas,26.33786667,TRUE,
ben,30221,no brannas,oh,26.59388333,TRUE,"think child said ""oh"""
ben,30221,I did,what kind of things do you like to do with Wolfy,26.26888333,TRUE,
braunwald,11010,yeah,okay,3.08185,TRUE,
braunwald,11020,mhm,goodness,4.564133333,TRUE,
braunwald,11009,Matthew,Matthew,0.040616667,TRUE,
braunwald,020212a,kitty is ups,thank you,7.422166667,TRUE,error?
braunwald,20221,I made it,uh huh,13.79336667,TRUE,
braunwald,20226,I've got more,so,6.113633333,TRUE,
braunwald,20313,here in my hand,good,1.68165,TRUE,
braunwald,20323,can I stay there,well,18.50153333,TRUE,
braunwald,20323,where's my m muffin,Dwww's cooking your muffin,10.05566667,TRUE,
braunwald,20615,let me see Jwww,www,4.604116667,TRUE,
braunwald,20616,I'm doing this right,would you eat with your fork or your spoon please Laura,3.120833333,TRUE,"this should be removed, there's comments in between and it's too long"
braunwald,20624,I'm just go poo_poo,that's right,0.446383333,TRUE,also should be removed
braunwald,030528a,I like it all,I like xxx,23.8486,TRUE,
braunwald,030528c,hi hi hi Mama,hi,0.0832,TRUE,
braunwald,030528b,look at that cut,wow,22.67433333,TRUE,
emily,20620,can you draw Noo_Noo,I can color him yeah,45.51853333,TRUE,
emily,20620,I got new plates,you do have new plates,11.55983333,TRUE,
emily,20620,from the mail box,yeah,3.566866667,TRUE,
emily,20718,we were throwin up the bread in,you were throwing the bread and what else,23.24073333,TRUE,error?
emily,20718,I don't wanna take that on there,you hafta take it on the boat so you don't sink,16.11693333,TRUE,
emily,20718,I put the balloons on this si,what are balloons for,2.864083333,TRUE,"""side"""
emily,20704,and Jessie's afraid of bugs,how come you can swim in water if you're afraid of it,24.4383,TRUE,
emily,20729,um there was some names,yeah,3.965133333,TRUE,error?
emily,20704,I hop on one foot,come here,28.75721667,TRUE,
emily,20718,he's holding me up,yeah,10.32521667,TRUE,
emily,20729,this is my notebook,who is this,6.712483333,TRUE,
emily,20718,she hadta go pee,no what happened with Mommy's boat not with Mommy,22.31278333,TRUE,
emily,20704,dey dey were bouncin bounce bounce,oh yeah,3.218833333,TRUE,she said bounce 4x
emily,20718,jum around in the mud puddle,yeah it rained huh,9.4563,TRUE,
emily,20704,just us and Deanna and Dece,mm hm,2.721466667,TRUE,
emily,20718,they go vroom vroom vroom,on what,13.85466667,TRUE,
emily,20704,but I'm screwing it in,what is it,0.127316667,TRUE,
emily,20704,I can bring it here,come over here,19.15876667,TRUE,
emily,20704,but a guest,he's a deer,20.37513333,TRUE,
emily,20704,Papa and you,mm hm and we took pictures huh,10.19941667,TRUE,
emily,20718,a teeter totter,yeah,30.11276667,TRUE,
emily,20704,Rabbit would get it,when did you go see that movie,12.58811667,TRUE,
