source_file,age,utterance,responder,response,overreg_past,overreg_plural,start_time_minutes,elan_coded
/content/drive/My Drive/childes/Eng-NA/Weist/Emma/021116.xml,1082,yes and the roar was so scared the flower goed away,FAT,the flower goed away,TRUE,FALSE,8.21185,TRUE
/content/drive/My Drive/childes/Eng-NA/Weist/Emma/021116.xml,1082,she just waked up,FAT,oh she just woke she just waked up,TRUE,FALSE,18.80676667,TRUE
/content/drive/My Drive/childes/Eng-NA/Weist/Emma/021116.xml,1082,she put it on it and the baby falled over,FAT,the baby falled over,TRUE,FALSE,19.79703333,TRUE
/content/drive/My Drive/childes/Eng-NA/Weist/Emma/030003.xml,1098.75,I just goed past you,FAT,you did go yeah,TRUE,FALSE,10.59941667,TRUE
/content/drive/My Drive/childes/Eng-NA/Weist/Emma/030120.xml,1146.25,that my grandpa drawed that and grandpa drawed that,JES,grandpa helped you,TRUE,FALSE,1.425083333,TRUE
/content/drive/My Drive/childes/Eng-NA/Weist/Emma/030624.xml,1302.75,everyone begans,JES,wait look what happens here,FALSE,FALSE,31.44505,FALSE
/content/drive/My Drive/childes/Eng-NA/Weist/Emma/030721.xml,1330.25,he just r runned an gave it to me,JES,oh he brought it back,TRUE,FALSE,22.88621667,TRUE
/content/drive/My Drive/childes/Eng-NA/Weist/Emma/030907.xml,1377.25,yeah I maded it and I have I had kayak clothes on,FAT,oh great okay I get it,TRUE,FALSE,28.97626667,TRUE
/content/drive/My Drive/childes/Eng-NA/Weist/Emma/030907.xml,1377.25,I just buyed chocolate milk,JES,you did,TRUE,FALSE,30.91843333,TRUE
/content/drive/My Drive/childes/Eng-NA/Weist/Emma/030907.xml,1377.25,I drinked it all,JES,good,TRUE,FALSE,31.56906667,TRUE
/content/drive/My Drive/childes/Eng-NA/Weist/Emma/040300.xml,1552.5,and she even bringed a slide,LAU,a slide,TRUE,FALSE,0.196683333,TRUE
/content/drive/My Drive/childes/Eng-NA/Weist/Emma/040300.xml,1552.5,no she bringed all these aminals but she didn't bring this,LAU,oh the silo,TRUE,FALSE,1.775016667,TRUE
/content/drive/My Drive/childes/Eng-NA/Weist/Emma/040300.xml,1552.5,Jessica only bringed two o these,LAU,did she ever bring the big people too not like the little ones like this,TRUE,FALSE,4.885966667,TRUE
/content/drive/My Drive/childes/Eng-NA/Weist/Emma/040300.xml,1552.5,we gotted,LAU,oh we got everybody,TRUE,FALSE,9.271383333,TRUE
/content/drive/My Drive/childes/Eng-NA/Weist/Emma/040321.xml,1573.5,the dog waked you up,LAU,maybe I should go back to bed huh,TRUE,FALSE,28.38351667,TRUE
/content/drive/My Drive/childes/Eng-NA/Weist/Emma/040321.xml,1573.5,someone throwed me forty four times on the ground,LAU,they threw you on the ground,TRUE,FALSE,30.01148333,TRUE
/content/drive/My Drive/childes/Eng-NA/Weist/Emma/040418.xml,1601,I heard that we need chocolate chips and I bringed them over,LAU,mhm,TRUE,FALSE,7.745383333,TRUE
/content/drive/My Drive/childes/Eng-NA/Weist/Emma/040418.xml,1601,it's from Hans and Tamara sended it to us,LAU,who sent it to you,TRUE,FALSE,18.83481667,TRUE
/content/drive/My Drive/childes/Eng-NA/Weist/Emma/040804.xml,1709,I know where we hided it,LAU,is it a chocolate cake too,TRUE,FALSE,30.34955,TRUE
