source_file,age,utterance,responder,overreg_past,overreg_plural,elan_coded
/content/drive/My Drive/childes/Eng-NA/Weist/Roman/020521.xml,904,I gotta poo I gots,JEN,FALSE,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Weist/Roman/020604.xml,917.5,I broked it,JEN,TRUE,FALSE,TRUE
/content/drive/My Drive/childes/Eng-NA/Weist/Roman/020611.xml,924.5,it's xxx it gots an ow a boo_boo,JEN,FALSE,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Weist/Roman/020701.xml,945,tmores,FAT,FALSE,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Weist/Roman/021001.xml,1036.5,sleept,JEN,TRUE,FALSE,TRUE
/content/drive/My Drive/childes/Eng-NA/Weist/Roman/030904.xml,1374.25,skakies and worms,FAT,FALSE,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Weist/Roman/030904.xml,1374.25,uh tiny teef,KAR,FALSE,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Weist/Roman/030925.xml,1395.25,see de little dings right dere you hammer dem down,KAR,FALSE,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Weist/Roman/030925.xml,1395.25,and after dat he goed dose some caves and de Aladar and de jungle and den they climbed in dere and after dat after dat it closed,FAT,TRUE,FALSE,TRUE
/content/drive/My Drive/childes/Eng-NA/Weist/Roman/031009.xml,1409.75,I felled on a carpet,KAR,TRUE,FALSE,TRUE
/content/drive/My Drive/childes/Eng-NA/Weist/Roman/031023.xml,1423.75,it has teef,KAR,FALSE,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Weist/Roman/031023.xml,1423.75,it has really big teef,FAT,FALSE,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Weist/Roman/031128.xml,1459.25,I gots one two three four,FAT,FALSE,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Weist/Roman/040611.xml,1655,and and it stunged me right here,FAT,TRUE,FALSE,TRUE
/content/drive/My Drive/childes/Eng-NA/Weist/Roman/040611.xml,1655,uma there was someone who also gots bit by a spider then they both turned into something um who um who shoots out something,CAR,FALSE,FALSE,FALSE
/content/drive/My Drive/childes/Eng-NA/Weist/Roman/040720.xml,1694.5,um number two um um he bendeded a camp,CAR,TRUE,FALSE,TRUE
