utterance,response,response_time,speaker,responder,utterance_time,start_time,error,age,past_tense,plural,overlap,source_file
 kitty wanna get in, kitty wants to get in,0.0,CHI,MOT,1.5230000000000032,33.5,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 kitty wants to get in, put the kitty in the car,0.0,MOT,MOT,1.3649999999999949,35.023,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 put the kitty in the car,,0.0,MOT,CHI,1.8190000000000026,36.388,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
, what happened,0.0,CHI,RYA,3.9200000000000017,38.207,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 what happened, he get inna in the inna in the van,0.0,RYA,CHI,0.9480000000000004,42.127,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 he get inna in the inna in the van, what did he do,0.0,CHI,MOT,4.458999999999996,43.075,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 what did he do, get inna in the van,0.0,MOT,CHI,1.5690000000000026,47.534,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 get inna in the van, talk slower,0.0,CHI,MOT,1.857999999999997,49.103,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 talk slower, that's all right,0.0,MOT,RYA,0.8260000000000005,50.961,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 that's all right, what's now what's that what's he doin,0.0,RYA,MOT,1.8569999999999993,51.787,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 what's now what's that what's he doin, xxx mow the lawn,0.0,MOT,CHI,3.261000000000003,53.644,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 xxx mow the lawn, mow the lawn okay,0.0,CHI,MOT,3.2220000000000013,56.905,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 mow the lawn okay, a the puppy not mow mow lawn,2.3999999999999986,MOT,CHI,1.5019999999999953,60.127,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 a the puppy not mow mow lawn, puppy not mow lawn,0.0,CHI,CHI,5.13600000000001,64.029,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 puppy not mow lawn, not mow lawn yeah,0.0,CHI,MOT,2.600999999999999,69.165,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 not mow lawn yeah, puppy doesn't mow the lawn,0.0,MOT,MOT,1.2800000000000011,71.766,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 puppy doesn't mow the lawn, who's th who's this who's mowin the lawn,0.0,MOT,MOT,1.2989999999999924,73.046,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 who's th who's this who's mowin the lawn, he gon going to drive,0.0,MOT,CHI,2.3119999999999976,74.345,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
 he gon going to drive, driving,0.0,CHI,MOT,4.625,76.657,False,['P2Y04M06D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Ben/020406.xml
