Begin Time - msec	End Time - msec	child_error_utterance	parent_error_response
966430	971080	error	
971530	972600		response
1203820	1206300	error	
1206770	1208610		response
1268713	1272150	error	
1273290	1274490		response
1278815	1286790	error	
1286860	1288100		response
1288440	1290690	error	
1290810	1291315		response
1301610	1304550	error	
1306090	1309170		response
1323830	1324520	error	
1324770	1325890		response
1326350	1327640	error	
1329000	1330020		response
1762230	1764370	error	
1766055	1767220		response
1774700	1777032	error	
1777620	1779090		response

