source_file,age,utterance,overreg_past,overreg_plural
/content/drive/My Drive/childes/Eng-NA/Braunwald/010720.xml,598.75,the xxx doggy gone do byebye,,
/content/drive/My Drive/childes/Eng-NA/Braunwald/010725.xml,603.75,I et ate it,,
/content/drive/My Drive/childes/Eng-NA/Braunwald/011008.xml,678.25,what did you do,,
/content/drive/My Drive/childes/Eng-NA/Braunwald/011019.xml,689.25,felled fell,,
/content/drive/My Drive/childes/Eng-NA/Braunwald/011020.xml,690.25,go in my hurt eye,,
/content/drive/My Drive/childes/Eng-NA/Braunwald/011027.xml,697.25,there are my shoes,,
/content/drive/My Drive/childes/Eng-NA/Braunwald/011103.xml,703.75,tiny when did my baby come here,,
/content/drive/My Drive/childes/Eng-NA/Braunwald/011109.xml,709.75,on a Glock stairs,,
/content/drive/My Drive/childes/Eng-NA/Braunwald/011126.xml,726.75,that is broken,,
/content/drive/My Drive/childes/Eng-NA/Braunwald/020023.xml,753.5,he said Mummy Mummy,,
/content/drive/My Drive/childes/Eng-NA/Braunwald/020121.xml,782,I got I have got milk in my eye,,
/content/drive/My Drive/childes/Eng-NA/Braunwald/020128.xml,789,I had a cold,,
/content/drive/My Drive/childes/Eng-NA/Braunwald/020200.xml,791.5,I've ate my dinner,,
/content/drive/My Drive/childes/Eng-NA/Braunwald/020212a.xml,803.5,that mean when Dee Jack went on trip on xxx on fire,,
/content/drive/My Drive/childes/Eng-NA/Braunwald/020215.xml,806.5,I got choose Mickey_Mouse,,
/content/drive/My Drive/childes/Eng-NA/Braunwald/020224.xml,815.5,I have got a fork,,
/content/drive/My Drive/childes/Eng-NA/Braunwald/020226.xml,817.5,I had no more pepper,,
/content/drive/My Drive/childes/Eng-NA/Braunwald/020227.xml,818.5,why did you left,,
/content/drive/My Drive/childes/Eng-NA/Braunwald/020300.xml,822,I have had enough,,
/content/drive/My Drive/childes/Eng-NA/Braunwald/020300.xml,822,I have had nough enough,,
/content/drive/My Drive/childes/Eng-NA/Braunwald/020300.xml,822,I have had enough,,
/content/drive/My Drive/childes/Eng-NA/Braunwald/020300a.xml,822,a white cat was hurt Pwww,,
/content/drive/My Drive/childes/Eng-NA/Braunwald/020300a.xml,822,Dwww said I was Daniel,,
/content/drive/My Drive/childes/Eng-NA/Braunwald/020300a.xml,822,here are my new sandals,,
/content/drive/My Drive/childes/Eng-NA/Braunwald/020300a.xml,822,a pears,,
/content/drive/My Drive/childes/Eng-NA/Braunwald/020300a.xml,822,I heared it,,
/content/drive/My Drive/childes/Eng-NA/Braunwald/020300a.xml,822,where where did my squirrel go,,
/content/drive/My Drive/childes/Eng-NA/Braunwald/020300a.xml,822,where did my mouse go,,
/content/drive/My Drive/childes/Eng-NA/Braunwald/020300a.xml,822,when did I have chicken,,
/content/drive/My Drive/childes/Eng-NA/Braunwald/020313.xml,835,Swww did byebye,,
/content/drive/My Drive/childes/Eng-NA/Braunwald/020323.xml,845,a bird flewed flew at me,,
/content/drive/My Drive/childes/Eng-NA/Braunwald/020323.xml,845,I have got a Mickey_Mouse shirt,,
/content/drive/My Drive/childes/Eng-NA/Braunwald/020323.xml,845,I did not cry,,
/content/drive/My Drive/childes/Eng-NA/Braunwald/020405.xml,857.5,you frozed froze it,,
/content/drive/My Drive/childes/Eng-NA/Braunwald/020406.xml,858.5,Daddy I have got a sore throat,,
/content/drive/My Drive/childes/Eng-NA/Braunwald/020526.xml,909,that allowed a glass of apple juice,,
/content/drive/My Drive/childes/Eng-NA/Braunwald/020616.xml,929.5,I stopped to Swww had a bump,,
/content/drive/My Drive/childes/Eng-NA/Braunwald/020621.xml,934.5,ah animals and fishes,,
/content/drive/My Drive/childes/Eng-NA/Braunwald/020624.xml,937.5,put her arm put her tube in,,
