corpus,control_file,control_utterance,control_response,control_start_time_minutes
ben,030221,puppy puppy's awake,puppy's awake,18.706033333333334
ben,030221,go on horsie,go on horsie okay,26.707016666666668
ben,030221,I go dig,you dig,27.3507
ben,021022,but Superman's gonna knock her down,uhoh,28.289966666666665
ben,021022,because I dropped the other one,you dropped it,1.7081166666666665
ben,021022,her her give her a owie,uhoh,29.0827
ben,030321,um bears,bears what other kind of animals,15.576383333333332
ben,030321,no brannas,oh,26.593883333333334
ben,030321,um Granny,Granny and what did you do with Granny,8.425416666666667
braunwald,020819,xxx,xxx left the truck xxx,NA
braunwald,020819,tape,why were you spitting in it,NA
braunwald,020819,nope,not hungry for cereal,NA
braunwald,030009,that's my bag,that's your old bag,NA
braunwald,030009,this i empty,yes,NA
braunwald,030009,xxx him too,mhm hm,NA
braunwald,030128,Mommy look at that,www,NA
braunwald,030128,xxx on my napkin,boy,NA
braunwald,030128,xxx I think you're,no,NA
braunwald,030423,and she screamed around,and she screamed around,NA
braunwald,030423,you put it on,you wanna hear your own voice,NA
braunwald,030423,I don't like pepper,you don't like pepper,NA
braunwald,040311b,some of them xxx,www,NA
braunwald,040311b,she xxx my baby,she did,NA
braunwald,040311b,good boy good boy,www,NA
braunwald,041000,I'm just I'm just too big for it,you are too big for this,NA
braunwald,041000,sometimes xxx I'm bigger than a harp is,no,NA
braunwald,041000,Mommy I don't want xxx to read xxx,are you tired of this story,NA
emily,030409,it's raining in here,it is,4.126566666666666
emily,030409,prob this doesn't stick,what is that a farmer,16.565016666666665
emily,030409,he jumped in it,he jumped in the picture,6.659466666666666
emily,030409,the frog says r ribbit ribbit,what are you doing right now,28.336566666666666
emily,030409,no Papa's chair is over there,that's Papa's chair that's Papa's deer,20.642266666666668
emily,030409,I'm in the buc o candy,mm hm,10.824549999999999
emily,030409,those are whale chimes,is that what you said was on the wall when I asked you,29.917366666666666
emily,030409,one for you again,who bought for you,22.3343
emily,030409,I'm gon put Tiki,do you know what this this is,7.515183333333334
emily,030409,he's goin by his self,is he coming soon to see you,14.219533333333334
emily,030409,I didn't drive it some,you didn't drive it,15.035833333333333
emily,030409,they're slidin like I do,let's see the next page,12.824116666666667
emily,030409,he just his room will be huge,yeah,7.484266666666667
emily,030409,he's got a fork and a knife,mm hm,17.52505
emily,030409,I put my boo_boo on my nose,you put a boo_boo on your nose,1.32125
emily,030409,you like it,yeah I like broccoli,19.611333333333334
emily,030409,he said Papa,where's Papa at,26.096166666666665
emily,030409,I'm not sharin,no you are sharing remember,9.377383333333334
emily,030409,yep he's loo for food,he's looking for food,29.5987
emily,030409,that make me really mad,it does,24.03595
emily,030409,I can't do your tape,why,4.691766666666666
emily,030409,he's he's sleepin too,everybody's sleeping,22.562833333333334
emily,030409,he he was sleepin,he was huh,21.326833333333333
emily,030409,he's standing on there,what is that,29.989183333333337
emily,030409,Anthony's got a problem he can't wiggle on the these these Widdles,oh so he has a problem,3.4928666666666666
emily,030409,but I show you some of my books in my toy box,okay read them to me,9.019083333333333
emily,030409,he's in a ca because he wanna see his mommy and daddy,like Quincy huh,13.025166666666667
emily,030409,I gotta go get a chair to talk to you,oh you're gonna sit by me,5.835016666666666
emily,030409,he's goin potty and that other cat is lookin look,he's lookin at him goin potty huh,15.1473
emily,030409,because they're special and you and you don't wanna break,but do you know,8.225783333333334
emily,030409,it stands up by itself,oh okay,2.7364666666666664
emily,030409,um my super ball babies,oh,5.4969
emily,030409,but not sittin on my,do you know how old you are,10.727433333333332
emily,030409,no I gotta read this one,you've already read me that book,16.805083333333332
emily,030409,we can read doggies books Carey,what can we do,9.788616666666666
emily,030409,I graduate to the next class,you,13.022633333333333
emily,030409,pull that thread out my sock,you put it on Grandma's floor,22.702616666666664
emily,030409,well I'll do it xxx again,you gotta tell me about it though you hafta talk to me,8.34885
emily,030409,just just flip that tape over,why,22.16421666666667
emily,030409,let's go back to the mall and get a pret for me,no way,9.969899999999999
emily,030409,come to my house and played and I was I just sad,you were sad,24.0601
emily,030409,no my mom said that I hafta go upstairs in my room,oh she made you go upstairs,24.539716666666667
emily,030409,fish,huh,12.207083333333333
emily,030409,yes,that's how you say it,4.927783333333333
emily,030409,yes,what do you do there,1.4577666666666667
emily,030409,the termites are really really funny,what did we do yesterday,5.16885
emily,030409,I forgot put it all there,here that goes up here,13.107533333333333
emily,030409,Cassandra's just not pickin her up,yeah,17.5131
emily,030409,can I,what hand is this,7.0903833333333335
emily,030409,I just,I didn't hear you say anything about it,17.633966666666666
emily,030409,is this,what is that,13.457583333333334
emily,030409,fish and sleep can't do it,fish and sleep can't do what,12.281616666666668
emily,030409,well I'll do it xxx again,you gotta tell me about it though you hafta talk to me,8.34885
emily,030409,but Mom doesn't have a mustache,no girls don't have mustaches,2.0345666666666666
emily,030409,can I have my super ball,at when we're done playing,2.7337833333333332
emily,030409,just just flip that tape over,why,22.16421666666667
emily,030409,I know what fat looks like,what does it look like,0.6975
emily,030409,is there enough of this in there,nope nothing's in there,27.748566666666665
emily,030409,well I gotta go watch a movie,oh you do,19.178350000000002
emily,030409,if I if I be a armadillo,armadillos are fat,0.8615166666666667
emily,030409,what can I do for you maam,you can tell me what we did at the mall today,3.9310833333333335
emily,030409,I don't wanna thread in my sock,well you don't have one anymore do ya,22.5247
emily,030409,but the termites are really really funny,oh they are,5.086266666666666
emily,030409,you can tape by yourself,I can,19.090516666666666
emily,030409,can I play some more,you hafta talk to me,23.806583333333332
emily,030409,you can wear this today,why can't you,20.434283333333333
emily,030409,I gat this boo in the mail,from who,12.348883333333333
emily,030409,I opened my presents Santa gave me,what'd you do with the wrapping paper,3.7543
emily,030409,you guys can come to my party,why are you having a party,13.227
emily,030409,and Jungle_Boo and Snow_White and Aladdin and Belle,okay,22.10005
emily,030409,but but first I gotta put that back,oh that doesn't go in the hole,18.028650000000003
emily,030409,put pegs and I put pegs in there,does it hold them,23.587583333333335
emily,030409,I'm I'm I'm movin my hair out my face,oh you are here I'll help you,4.808566666666667
emily,030409,that's not my microphone and that's not my microphone,you don't get to wear your microphone,8.931833333333334
emily,030409,but I have ta talk to Zee right now,okay talk to him,23.6915
emily,030409,that means the cats have gotten it,stay here,26.6444
emily,030409,take the pack I'm out of here,no you're not I wanna talk to you,20.3746
emily,030409,yeah I think he's got itchy oochies,oh,15.947183333333333
emily,030409,you love suns too,mm hm,27.39333333333333
emily,030409,I was playin cherry,you were playing cherry,18.024183333333333
emily,030409,it it will get,there,17.08805
emily,040519,did you name it Sammy,I think so but maybe you did,20.334766666666667
emily,040519,we hafta count to twenty,mm hm,16.53996666666667
emily,040519,well they have lots_of toys,mm hm,14.113816666666667
emma,030907,I like fish food,you do,24.329733333333333
emma,030907,he saw some persons,some persons,15.670283333333334
emma,030907,you draw a lion,oh boy I am such a bad drawer but I will try,3.468566666666667
emma,030907,there's a little bit left in in the farm okay,all right but don't you think we hafta pay for that,28.67546666666667
emma,030907,do you want some mo more wool for the chicken,well if we are gonna make a chicken blanket we do need some more wool,14.891783333333333
emma,030907,do you wanna go in this tur turtle baby,I don't know what's that turtle like,24.230816666666666
emma,030907,help help it t talk,yeah well see,18.16531666666667
emma,030907,I think it's right here,wow this is hard ground over here,19.479333333333333
emma,030907,stickers all over the rug,are you gonna open this thing up,0.15551666666666666
emma,030912,I want mommy to stay in the living room,she will she's on the phone,0.25908333333333333
emma,030912,with these red ones and the yellow ones xxx,and what's that,12.020549999999998
emma,030912,and the blues and the reds and the orange,well hm what should we do with the extra,8.521933333333333
