utterance,response,response_time,speaker,responder,utterance_time,start_time,error,age,past_tense,plural,overlap,source_file
 here's that yellow thing, and these things,0,MOT,CHI,2.961,0,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 and these things, yeah,0,CHI,MOT,3.39,2.961,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 yeah, and that,0,MOT,CHI,2.658,6.351,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 and that, what's that,0,CHI,JES,0.871,9.009,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 what's that, you open it,0,JES,CHI,2.81,9.88,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 you open it, should I open it,0,CHI,MOT,3.053,12.69,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 should I open it, then close it,0,MOT,CHI,2.02,15.743,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 then close it, what do you do with that,0,CHI,JES,4.447,17.763,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 what do you do with that, what's that thing,0,JES,CHI,2.937,22.21,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 what's that thing, what's that,0,CHI,MOT,6.943,25.147,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 what's that, I bet you know what that is,0,MOT,MOT,2.322,32.09,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 I bet you know what that is, you tell,0,MOT,CHI,2.206,34.412,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 you tell, it's ketchup,0,CHI,MOT,0.894,36.618,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 it's ketchup, close it up,0,MOT,CHI,2.6,37.512,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 close it up, close it up,0,CHI,CHI,3.228,40.112,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 close it up, close this up,0,CHI,CHI,3.123,43.34,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 close this up, want me to close it,0,CHI,JES,2.542,46.463,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 want me to close it, what's this,0,JES,CHI,1.324,49.005,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 what's this, what's this,0,CHI,CHI,4.237,50.329,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 what's this, what's going on here,0,CHI,JES,3.147,54.566,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 what's going on here, huh,0,JES,JES,3.518,57.713,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 huh, and they slide down,0,JES,CHI,2.066,61.231,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 and they slide down, this,0,CHI,CHI,2.427,63.297,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 this, what's that,0,CHI,JES,4.4,65.724,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 what's that, what is that,0,JES,JES,1.277,70.124,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 what is that, this,0,JES,CHI,2.984,71.401,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 this, look,0,CHI,CHI,6.362,74.385,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 look, look Mommy,0,CHI,CHI,2.659,80.747,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 look Mommy, I see,0,CHI,MOT,1.428,83.406,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 I see, what is this,0,MOT,MOT,1.509,84.834,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 what is this, are you tryin to pull her head off,0,MOT,MOT,1.695,86.343,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 are you tryin to pull her head off, the other mommy,0,MOT,CHI,7.036,88.038,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 the other mommy, you want this mommy too,0,CHI,JES,4.586,95.074,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 you want this mommy too, yes,0,JES,CHI,2.31,99.66,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 yes, look the door opens,0,CHI,CHI,0.906,101.97,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 look the door opens, the door opens,0,CHI,CHI,11.714,102.876,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 the door opens, yeah just like the big one we hav or the big one we use at home,0,CHI,MOT,4.551,114.59,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 yeah just like the big one we hav or the big one we use at home, the car has,0,MOT,CHI,3.135,119.141,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 the car has, this car has this,0,CHI,CHI,4.667,122.276,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 this car has this, and what's that,0,CHI,MOT,4.447,126.943,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 and what's that, baby,0,MOT,CHI,1.869,131.39,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 baby, look at this baby,0,CHI,CHI,1.15,133.259,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 look at this baby, look at the baby,0,CHI,MOT,8.243,134.409,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 look at the baby, and this baby rides goes goes in there,0,MOT,CHI,2.67,142.652,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 and this baby rides goes goes in there, are they gonna go for a trip,0,CHI,JES,5.631,145.322,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 are they gonna go for a trip, in the car,0,JES,JES,6.977,150.953,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 in the car, this,0,JES,CHI,1.15,157.93,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 this, in the baby stroller,0,CHI,MOT,2.008,159.08,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 in the baby stroller, not the baby stroller,0,MOT,CHI,2.415,161.088,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 not the baby stroller, oh okay,0,CHI,MOT,5.248,163.503,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 oh okay, and this baby goes up here,0,MOT,CHI,1.103,168.751,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 and this baby goes up here, okay,0,CHI,MOT,4.098,169.854,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 okay, there's the mommy,0,MOT,CHI,11.436,173.952,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 there's the mommy, gonna drive,0,CHI,CHI,14.687,185.388,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 gonna drive, she gonna drive,0,CHI,MOT,1.637,200.075,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 she gonna drive, and this daddy,0,MOT,CHI,1.265,201.712,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 and this daddy, that's daddy,0,CHI,JES,5.294,202.977,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 that's daddy, where are they gonna go,0,JES,JES,0.825,208.271,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 where are they gonna go, this daddy put the xxx,0,JES,CHI,1.683,209.096,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
 this daddy put the xxx, yeah where are they gonna go,0,CHI,MOT,12.26,210.779,FALSE,[None],FALSE,FALSE,FALSE,/content/drive/My Drive/childes/Eng-NA/Weist/Emma/020708.xml
