age,utterance,responder,response,overreg_past,overreg_plural,start_time_minutes,elan_coded,file,corpus,n,reformulation,repetition
865.5,it falled out,MOT,it fall out,TRUE,FALSE,22.2559,TRUE,20413,ben,1,1,0
978.5,it wa it was broked off,RYA,it was broked off,TRUE,FALSE,22.5452667,TRUE,20804,ben,1,0,1
1177.75,he sleeped,MOT,and then what,TRUE,FALSE,20.00805,TRUE,30221,ben,1,0,0
689.25,felled,MOT,you like to go to the beach,TRUE,FALSE,6.50015,TRUE,11019,braunwald,1,0,0
822,I heared it,MOT,you didn't,TRUE,FALSE,24.54785,TRUE,020300a,braunwald,1,0,0
845,bird flewed at me,MOT,yes,TRUE,FALSE,2.671283333,TRUE,20323,braunwald,1,0,0
934.5,ah animals and fishes,MOT,animals and fishes,FALSE,TRUE,3.45275,TRUE,20621,braunwald,1,0,1
1276.25,my toast is burned,MOT,uhuh,TRUE,FALSE,3.219316667,TRUE,030528a,braunwald,1,0,0
1692.5,I got it and it was all breaked,MOT,it was all broken,TRUE,FALSE,4.017133333,TRUE,040718d,braunwald,1,1,0
919.5,he drinked it all,CAR,he drinked it all,TRUE,FALSE,38.5225,TRUE,20606,emily,1,0,1
948,the scrap book falled in the water,CAR,yeah,TRUE,FALSE,11.81675,TRUE,20704,emily,1,0,0
948,the phone run runned on,CAR,the answering machine,TRUE,FALSE,25.86203333,TRUE,20704,emily,2,0,0
948,I drawed with him,CAR,what'd you draw,TRUE,FALSE,29.15705,TRUE,20704,emily,3,1,0
948,I drawed chalk only for kids,CAR,what's for kids,TRUE,FALSE,29.218,TRUE,20704,emily,4,0,0
962,I falled off o there,CAR,no this happened last weekend,TRUE,FALSE,5.99705,TRUE,20718,emily,1,0,0
962,he waked up,CAR,he did,TRUE,FALSE,26.07825,TRUE,20718,emily,2,0,0
973,right on his foots,CAR,he did,FALSE,TRUE,16.44675,TRUE,20729,emily,1,0,0
1007,he flied a big plane to his mommy and daddy,CAR,mm hm,TRUE,FALSE,2.31335,TRUE,20902,emily,1,0,0
1007,but he he goed to his mommy and daddy way over there,CAR,how'd you get that boo_boo,TRUE,FALSE,15.61641667,TRUE,20902,emily,2,0,0
1007,I fighted with her too,CAR,you fought with Grandma,TRUE,FALSE,18.28383333,TRUE,20902,emily,3,1,0
1028,I swinged it on my head,CAR,did that hurt,TRUE,FALSE,4.550633333,TRUE,20923,emily,1,0,0
1042.5,mouses don't drive in crayons car,CAR,I know they don't,FALSE,TRUE,16.10658333,TRUE,21007,emily,1,0,0
1042.5,have you hadded presents and cake,CAR,I did,TRUE,FALSE,20.04045,TRUE,21007,emily,2,0,0
1042.5,my cat ate my three mouses,CAR,you have three mice,FALSE,TRUE,21.12303333,TRUE,21007,emily,3,1,0
1042.5,I Daddy Stuart_Little and Mom Stuart_Little and I I have three mouses,CAR,oh okay,FALSE,TRUE,21.29648333,TRUE,21007,emily,4,0,0
1042.5,my cat tried to eat my mouses,CAR,when,FALSE,TRUE,21.46855,TRUE,21007,emily,5,0,0
1042.5,my but my cat eat mouses,CAR,why do you call them mice sometimes and mouses other times,FALSE,TRUE,21.67221667,TRUE,21007,emily,6,1,0
1042.5,mouses,CAR,okay,FALSE,TRUE,22.06006667,TRUE,21007,emily,7,0,0
1042.5,mouses outside,CAR,what do mice do,FALSE,TRUE,22.0969,TRUE,21007,emily,8,1,0
1042.5,my mouses gatta a babysitter,CAR,they're at the babysitters,FALSE,TRUE,29.35561667,TRUE,21007,emily,9,0,0
1042.5,my mouses are back in my baby,CAR,they're back in your baby,FALSE,TRUE,29.5604,TRUE,21007,emily,10,0,0
1081,Mommy writed a letter and I writed a letter,CAR,did you put up a Christmas tree,TRUE,FALSE,2.2024,TRUE,21115,emily,1,0,0
1081,I ripped it sinced I goed to bed,CAR,oh you ripped it since you went to bed,TRUE,FALSE,13.54418333,TRUE,21115,emily,2,1,0
1081,I goed like this I goed like this when I goed ow,CAR,you hit yourself,TRUE,FALSE,24.44428333,TRUE,21115,emily,3,0,0
1081,I doed this when I goed ow,CAR,mm hm,TRUE,FALSE,24.5438,TRUE,21115,emily,4,0,0
1107.75,and we comed over and then it was your birthday and we make the cake,CAR,yeah,TRUE,FALSE,3.5519,TRUE,30012,emily,1,0,0
1107.75,it died then the air comed out,CAR,oh,TRUE,FALSE,8.561333333,TRUE,30012,emily,2,0,0
1107.75,no she falled down,CAR,yeah she did,TRUE,FALSE,25.48353333,TRUE,30012,emily,3,0,0
1226.75,and Mommy sitted there they came here and they gave it to my mommy and she sat there and I'm gonna buy one of those toys for Tiki whoa,CAR,look out what just happened,TRUE,FALSE,1.766116667,TRUE,30409,emily,1,0,0
1538,well it got teared down,CAR,uhhuh,TRUE,FALSE,9.31445,TRUE,40216,emily,1,0,0
1082,yes and the roar was so scared the flower goed away,FAT,the flower goed away,TRUE,FALSE,8.21185,TRUE,21116,emma,1,0,1
1082,she just waked up,FAT,oh she just woke she just waked up,TRUE,FALSE,18.80676667,TRUE,21116,emma,2,0,1
