utterance,response,response_time,speaker,responder,utterance_time,error,age,past_tense,plural,overlap,source_file
 do you like it, uh I can open it,0.0,JEN,CHI,1.4329999999999998,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 uh I can open it, I don't I don't know if it's,0.0,CHI,JEN,2.0630000000000006,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 I don't I don't know if it's, ooh you're like a grownup,0.0,JEN,JEN,2.0459999999999994,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 ooh you're like a grownup, see I have one too we're special,0.0,JEN,JEN,1.777000000000001,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 see I have one too we're special, yes you guys are very special,0.0,JEN,MOT,3.9079999999999995,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 yes you guys are very special, we play with toys,0.0,MOT,CHI,3.7409999999999997,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 we play with toys, we play with toys very good,0.0,CHI,JEN,1.8790000000000013,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 we play with toys very good, very good,0.0,JEN,CHI,2.043999999999997,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 very good, xxx,0.0,CHI,MOT,3.8080000000000034,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 xxx, do you wanna go sit in that one or do you want me to move this chair,0.0,MOT,JEN,2.9259999999999984,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 do you wanna go sit in that one or do you want me to move this chair, do you like this chair better or that one,0.0,JEN,JEN,2.7600000000000016,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 do you like this chair better or that one, um no,0.0,JEN,CHI,1.3780000000000001,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 um no, okay you like the one you're on,0.0,CHI,JEN,1.2970000000000006,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 okay you like the one you're on, yes,0.0,JEN,CHI,1.463000000000001,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 yes, okay if I sit here,0.0,CHI,JEN,1.4629999999999939,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 okay if I sit here, what's this little boy doin,5.0,JEN,JEN,1.1650000000000063,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 what's this little boy doin, goin sit,0.0,JEN,CHI,1.9789999999999992,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 goin sit, yeah,0.0,CHI,JEN,2.0109999999999957,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 yeah, and he go po,0.0,JEN,CHI,0.7319999999999993,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 and he go po, an take a bath,0.0,CHI,CHI,2.676000000000002,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 an take a bath, take a bath,0.0,CHI,MOT,2.926000000000002,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 take a bath, oh who's he takin a bath with,8.0,MOT,MOT,1.1469999999999985,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 oh who's he takin a bath with, daddy,0.0,MOT,CHI,2.0459999999999994,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 daddy, what did daddy do today,0.0,CHI,MOT,2.675999999999995,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 what did daddy do today, do you know what daddy did today,0.0,MOT,MOT,1.1300000000000097,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 do you know what daddy did today, daddy's takin a bath,0.0,MOT,JEN,5.11999999999999,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 daddy's takin a bath, ooh,0.0,JEN,MOT,1.3320000000000078,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 ooh, who's that,6.0,MOT,MOT,0.8629999999999995,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 who's that, a baby,0.0,MOT,CHI,1.3970000000000056,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 a baby, where does the baby go,0.0,CHI,MOT,1.7959999999999923,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 where does the baby go, to slee,0.0,MOT,CHI,3.6740000000000066,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 to slee, to sleep,0.0,CHI,MOT,2.9919999999999902,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 to sleep, in the it's a bed,0.0,MOT,MOT,0.9159999999999968,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 in the it's a bed, should the baby go to sleep in the bed,0.0,MOT,MOT,4.257000000000005,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 should the baby go to sleep in the bed, yes,0.0,MOT,CHI,1.2789999999999964,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 yes, and what about the mommy here,0.0,CHI,MOT,0.5650000000000119,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 and what about the mommy here, hm baby's asleep,7.0,MOT,JEN,7.314999999999998,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 hm baby's asleep, where'd where did the mommy go,0.0,JEN,MOT,2.0459999999999923,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 where'd where did the mommy go, xxx,0.0,MOT,CHI,3.88900000000001,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 xxx, o she's sittin who's she sittin with now,5.0,CHI,MOT,2.6269999999999953,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 o she's sittin who's she sittin with now, daddy,0.0,MOT,CHI,3.3419999999999845,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 daddy, so what did they do today,0.0,CHI,MOT,1.8610000000000184,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 so what did they do today, to sit,0.0,MOT,CHI,3.5749999999999886,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 to sit, de the puppy dogs like to jump,0.0,CHI,CHI,2.2770000000000152,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 de the puppy dogs like to jump, yeah they do,0.0,CHI,MOT,5.302999999999997,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 yeah they do, they like to jump,0.0,MOT,MOT,1.6970000000000027,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 they like to jump, what else do they like to do,0.0,MOT,MOT,1.7129999999999939,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 what else do they like to do, how do they go what's the sound they make,0.0,MOT,MOT,1.2959999999999923,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 how do they go what's the sound they make, they bark,0.0,MOT,CHI,6.917000000000002,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 they bark, wow,0.0,CHI,JEN,2.0459999999999923,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 wow, that's a lot of fun,7.299999999999983,JEN,MOT,1.2130000000000223,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 that's a lot of fun, how do they how do they bark at the moon,0.0,MOT,MOT,1.5459999999999923,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 how do they how do they bark at the moon, yep,8.099999999999994,MOT,MOT,2.3610000000000184,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 yep, do you know what I've got and I didn't show you yet,5.0,MOT,MOT,1.4629999999999939,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 do you know what I've got and I didn't show you yet, I've got pictures from the day that we went,0.0,MOT,MOT,3.0090000000000146,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 I've got pictures from the day that we went, we were outside taking pictures remember that day,0.0,MOT,MOT,2.5439999999999827,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 we were outside taking pictures remember that day, remember that day,0.0,MOT,MOT,2.9930000000000234,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 remember that day, do you wanna see,0.0,MOT,MOT,4.804999999999978,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 do you wanna see, who's that,0.0,MOT,MOT,3.176000000000016,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 who's that, Jillian,0.0,MOT,CHI,3.1569999999999823,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 Jillian, yes,0.0,CHI,MOT,2.629000000000019,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 yes, what was Jillian doin then,0.0,MOT,MOT,1.1129999999999995,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 what was Jillian doin then, well outside,0.0,MOT,CHI,2.1939999999999884,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 well outside, you were outside,0.0,CHI,MOT,7.064999999999998,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 you were outside, what were you doing,0.0,MOT,MOT,1.2309999999999945,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 what were you doing, uh I was planting,0.0,MOT,CHI,2.6110000000000184,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
 uh I was planting, you were planting,0.0,CHI,MOT,4.638999999999982,False,['P2Y01M01D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml
