utterance,response,response_time,speaker,responder,utterance_time,error,age,past_tense,plural,overlap,source_file
 heh uppiewhoopy right in there, okay,0.0,CHI,MOM,8.439,False,['P1Y07M19D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Nelson/010719.xml
 okay, to my pee xxx,0.0,MOM,CHI,1.5920000000000005,False,['P1Y07M19D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Nelson/010719.xml
 to my pee xxx, do you hafta be changed Emma,0.0,CHI,MOM,3.6769999999999996,False,['P1Y07M19D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Nelson/010719.xml
 do you hafta be changed Emma, eh and xxx the xxx,0.0,MOM,CHI,1.6219999999999999,False,['P1Y07M19D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Nelson/010719.xml
 eh and xxx the xxx, okay,0.0,CHI,MOM,3.4290000000000003,False,['P1Y07M19D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Nelson/010719.xml
 okay, xxx,0.0,MOM,CHI,1.1819999999999986,False,['P1Y07M19D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Nelson/010719.xml
 xxx, where Mommy go,0.0,CHI,CHI,11.574000000000002,False,['P1Y07M19D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Nelson/010719.xml
 where Mommy go, where Mommy go,941.217,CHI,CHI,6.942999999999998,False,['P1Y07M19D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Nelson/010719.xml
 where Mommy go, innyinny ich mm ich,0.0,CHI,CHI,3.6420000000000528,False,['P1Y07M19D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Nelson/010719.xml
 innyinny ich mm ich, okay we'll change your diaper,-0.19799999999997908,CHI,DAD,4.44399999999996,False,['P1Y07M19D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Nelson/010719.xml
 okay we'll change your diaper, and we can put some medicine on,0.0,DAD,DAD,10.600000000000023,False,['P1Y07M19D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Nelson/010719.xml
 and we can put some medicine on, Daddy said you had hardly any juice,28.045999999999935,DAD,MOM,9.275999999999954,False,['P1Y07M19D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Nelson/010719.xml
 Daddy said you had hardly any juice, up you go,35.19899999999984,MOM,MOM,5.886000000000195,False,['P1Y07M19D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Nelson/010719.xml
 up you go, the bird want the snakes,22.632000000000062,MOM,MOM,1.9390000000000782,False,['P1Y07M19D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Nelson/010719.xml
 the bird want the snakes, what would the bird do with the snakes,0.0,MOM,MOM,1.2649999999998727,False,['P1Y07M19D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Nelson/010719.xml
 what would the bird do with the snakes, eat,-0.010999999999967258,MOM,CHI,1.7070000000001073,False,['P1Y07M19D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Nelson/010719.xml
 eat, okay you can have a sip and you can go to sleep,26.307999999999993,CHI,MOM,0.8940000000000055,False,['P1Y07M19D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Nelson/010719.xml
 okay you can have a sip and you can go to sleep, Daddy's not saying anything,s1 or s2 media info not available,MOM,DAD,3.342999999999847,False,['P1Y07M19D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Nelson/010719.xml
 Daddy's not saying anything, he's just looking at your math uh your picture while you're drinking your juice,s1 or s2 media info not available,DAD,DAD,media info not available,False,['P1Y07M19D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Nelson/010719.xml
 he's just looking at your math uh your picture while you're drinking your juice, oh you think so when you wake up is that what you're going to want,56.069999999999936,DAD,MOM,7.186999999999898,False,['P1Y07M19D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Nelson/010719.xml
 oh you think so when you wake up is that what you're going to want, good,0.0,MOM,CHI,3.0650000000000546,False,['P1Y07M19D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Nelson/010719.xml
 good, night night sweetie I love you,38.59999999999991,CHI,DAD,0.9980000000000473,False,['P1Y07M19D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Nelson/010719.xml
 night night sweetie I love you, making making my poo poo,71.3789999999999,DAD,CHI,1.9260000000001583,False,['P1Y07M19D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Nelson/010719.xml
 making making my poo poo, xxx,111.94400000000019,CHI,CHI,3.145999999999958,False,['P1Y07M19D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Nelson/010719.xml
 xxx, xxx clean up,0.0,CHI,CHI,5.792999999999893,False,['P1Y07M19D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Nelson/010719.xml
 xxx clean up, I will go upstairs,0.0,CHI,CHI,3.7159999999998945,False,['P1Y07M19D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Nelson/010719.xml
 I will go upstairs, well you can go upstairs and see Grandma tomorrow Hon,0.0,CHI,DAD,2.5420000000001437,False,['P1Y07M19D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Nelson/010719.xml
 well you can go upstairs and see Grandma tomorrow Hon, we'll go on the third floor tomorrow,0.0,DAD,DAD,2.9610000000000127,False,['P1Y07M19D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Nelson/010719.xml
 we'll go on the third floor tomorrow, Honey are you going to put your dinosaur in your bed,0.0,DAD,MOM,2.1240000000000236,False,['P1Y07M19D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Nelson/010719.xml
 Honey are you going to put your dinosaur in your bed, have a good night's sleep and I'll see you in the morning,22.230000000000018,MOM,MOM,2.3799999999998818,False,['P1Y07M19D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Nelson/010719.xml
 have a good night's sleep and I'll see you in the morning,,0.0,MOM,MOM,2.61200000000008,False,['P1Y07M19D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Nelson/010719.xml
, I'm going in Mom and Dad's room,0.0,MOM,CHI,5.09699999999998,False,['P1Y07M19D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Nelson/010719.xml
 I'm going in Mom and Dad's room, I'm going my room,0.0,CHI,CHI,5.557999999999993,False,['P1Y07M19D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Nelson/010719.xml
 I'm going my room, hm hm hm,47.432000000000016,CHI,CHI,1.9039999999999964,False,['P1Y07M19D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Nelson/010719.xml
 hm hm hm, you had it on last night right Hon,16.952999999999975,CHI,MOM,6.2690000000000055,False,['P1Y07M19D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Nelson/010719.xml
 you had it on last night right Hon, maybe not,0.0,MOM,CHI,1.961999999999989,False,['P1Y07M19D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Nelson/010719.xml
 maybe not, I love you sweetie,55.784000000000106,CHI,DAD,2.627999999999929,False,['P1Y07M19D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Nelson/010719.xml
 I love you sweetie, good night sweetie,-0.23099999999999454,DAD,DAD,1.9849999999999,False,['P1Y07M19D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Nelson/010719.xml
 good night sweetie, oh cough,0.0,DAD,CHI,3.7380000000000564,False,['P1Y07M19D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Nelson/010719.xml
 oh cough, see you in the morning,0.0,CHI,DAD,2.7180000000000746,False,['P1Y07M19D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Nelson/010719.xml
 see you in the morning, night night,0.0,DAD,DAD,1.5559999999998126,False,['P1Y07M19D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Nelson/010719.xml
 night night,,0.0,DAD,CHI,1.8220000000001164,False,['P1Y07M19D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Nelson/010719.xml
, that my cough,0.0,CHI,CHI,10.437999999999874,False,['P1Y07M19D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Nelson/010719.xml
 that my cough, xxx,0.0,CHI,CHI,2.7630000000001473,False,['P1Y07M19D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Nelson/010719.xml
 xxx,,0.0,CHI,CHI,6.15300000000002,False,['P1Y07M19D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Nelson/010719.xml
, unhunh,0.0,CHI,CHI,25.229000000000042,False,['P1Y07M19D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Nelson/010719.xml
 unhunh, xxx,0.0,CHI,CHI,94.4699999999998,False,['P1Y07M19D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Nelson/010719.xml
 xxx,,0.0,CHI,CHI,1.788000000000011,False,['P1Y07M19D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Nelson/010719.xml
, xxx,0.0,CHI,CHI,6.269999999999982,False,['P1Y07M19D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Nelson/010719.xml
 xxx, xxx take baby,0.0,CHI,CHI,12.596000000000004,False,['P1Y07M19D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Nelson/010719.xml
 xxx take baby,,27.722999999999956,CHI,CHI,2.6360000000001946,False,['P1Y07M19D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Nelson/010719.xml
, hafta cough right on xxx,37.68299999999999,CHI,CHI,1.5090000000000146,False,['P1Y07M19D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Nelson/010719.xml
 they didn't wanna, what's going to happen when you get over there and they xxx,0.0,DAD,MOM,2.495,False,['P1Y08M20D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Nelson/010820.xml
 what's going to happen when you get over there and they xxx, xxx and they won't use so many bankers,0.0,MOM,MOM,4.814,False,['P1Y08M20D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Nelson/010820.xml
 xxx and they won't use so many bankers, would you like it without the carry on piece or not,0.0,MOM,MOM,4.829999999999999,False,['P1Y08M20D'],False,False,False,/content/drive/My Drive/childes/Eng-NA/Nelson/010820.xml
