source_file,age,utterance,overreg_past,overreg_plural
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/020606.xml,919.5,he drinked drank it all,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/020620.xml,933.5,look what I just find found in Grandma ma's cushion,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/020704.xml,948,the scrap book falled fell in the water,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/020704.xml,948,the phone run runned ran on,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/020704.xml,948,I drawed drew with him,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/020704.xml,948,I drawed drew chalk only for kids,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/020718.xml,962,I falled fell off o there,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/020718.xml,962,he waked woke up,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/020729.xml,973,right on his foots feet,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/020813.xml,987.5,like he know knew how to build my puzzles,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/020902.xml,1007,he flied flew a big plane to his mommy and daddy,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/020902.xml,1007,but he he goed went to his mommy and daddy way over there,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/020902.xml,1007,I fighted fought with her too,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/020923.xml,1028,I swinged swung it on my head,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/021007.xml,1042.5,mouses mice don't drive in crayons car,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/021007.xml,1042.5,have you hadded had presents and cake,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/021007.xml,1042.5,my cat ate my three mouses mice,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/021007.xml,1042.5,I Daddy Stuart_Little and Mom Stuart_Little and I I have three mouses mice,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/021007.xml,1042.5,my cat tried to eat my mouses mice,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/021007.xml,1042.5,my but my cat eat mouses mice,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/021007.xml,1042.5,mouses mice,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/021007.xml,1042.5,mouses mice outside,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/021007.xml,1042.5,my mouses mice gatta got a babysitter,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/021007.xml,1042.5,my mouses mice are back in my baby,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/021028.xml,1063.5,and and Rabbit gots got in one of the car,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/021115.xml,1081,Mommy writed wrote a letter and I writed wrote a letter,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/021115.xml,1081,I ripped it sinced since I goed went to bed,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/021115.xml,1081,I goed went like this I goed went like this when I goed said ow,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/021115.xml,1081,I doed did this when I goed said ow,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/030012.xml,1107.75,and we comed came over and then it was your birthday and we make the cake,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/030012.xml,1107.75,it died then the air comed came out,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/030012.xml,1107.75,his mommy and daddy was were way over there,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/030012.xml,1107.75,his mommy and daddy was were way over there xxx Sams_Club,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/030012.xml,1107.75,her tongue tastes her tongue tastes her tongue tasteses tastes like sandpaper,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/030012.xml,1107.75,they're they're yellin and their pants and their shirts go went awayed away,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/030012.xml,1107.75,no she falled fell down,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/030409.xml,1226.75,and Mommy sitted sat there they came here and they gave it to my mommy and she sat there and I'm gonna buy one of those toys for Tiki whoa,,
/content/drive/My Drive/childes/Eng-NA/Weist/Emily/040216.xml,1538,well it got teared torn down,,
