source_file,age,utterance,start_time_minutes,overreg_past,overreg_plural
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml,762,he falled fell,14.48725,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020101.xml,762,he falled fell,16.3885,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020108.xml,769,I taked took a shower,13.210433333333333,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020108.xml,769,they're takin bathses baths,22.725666666666665,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020117.xml,778,I swimmed swam in the bathtub,14.371416666666667,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020117.xml,778,I sayed said nothin,27.2636,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020129.xml,790,they sayed said hi,16.903916666666667,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020129.xml,790,I maked made a a coat,25.4876,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020206.xml,797.5,he taked took his beard off,16.791,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020206.xml,797.5,I drawed drew xxx beach,25.540183333333335,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020317.xml,839,I fli flew in in the in Portugal,2.49415,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020317.xml,839,he drinked drank milk,7.54155,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020317.xml,839,his mommy his mommy goed went to work,7.60635,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020317.xml,839,I drawed drew the sun,14.233483333333334,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020317.xml,839,I drawed drew the sun,14.300266666666666,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020317.xml,839,my cousins maked made me a castle and I played with it,30.12656666666667,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020325.xml,847,I gots got to pick it up,4.149366666666666,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020325.xml,847,I singed sang a song to the dinosaurs and then they were sleeping,4.617900000000001,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020325.xml,847,and I doed did that yester when I goed went to school,19.83948333333333,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020409.xml,861.5,oh I loves love loves love your hair,26.107266666666664,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020414.xml,866.5,yeah I'm going to buy all your milks milk ta to,5.4889,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020414.xml,866.5,sip your milks milk on this,6.77555,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020414.xml,866.5,somebody drawed drew that picture,15.639183333333333,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020421.xml,873.5,he's going to broken break his arm if he,15.825733333333334,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020421.xml,873.5,drawed drew Jessie the cow,27.57793333333333,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020428.xml,880.5,I baked you the milk and I maked made you a burger,13.07145,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020507.xml,890,did you got get my food,22.510966666666665,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020507.xml,890,well I throwed threw the giant away,28.20293333333333,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020521.xml,904,we getted got a pixies,19.360500000000002,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020521.xml,904,I getted got a pixies and a candy,19.436416666666666,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020526.xml,909,drinked drank water and they,8.640166666666666,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020526.xml,909,we pickeded picked the doggie up and,29.6093,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020616.xml,929.5,when he camed came,1.4455666666666667,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020616.xml,929.5,flied flew around the dinosaurs,3.8958,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020616.xml,929.5,and then I hided hid,4.13465,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020616.xml,929.5,only all my friends camed came,8.065216666666666,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020616.xml,929.5,and then all the mommy was and then the Jillysaurs camed came,8.8553,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020616.xml,929.5,then you growed grew up now to be the daddy,21.049183333333335,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020616.xml,929.5,they're growed grown up,21.49611666666667,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020616.xml,929.5,you growed grew up and then that's the daddy,30.199749999999998,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020707.xml,951,he was cold yeah he was he's a Tyrannosauruses Tyrannosaurus,18.53898333333333,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020707.xml,951,he went home and ated ate some trees that were brokened broken,18.670583333333333,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020707.xml,951,he falled fell into this river,18.891983333333332,,
/content/drive/My Drive/childes/Eng-NA/Weist/Jillian/020916.xml,1021,they doed did her maked made her do her chores,3.2765666666666666,,
